Startup_Name,Industry,Target_Market,Product_Focus,Outcome,Launch_Year,Core_Problem,Solution,Feasibility_Score,Innovation_Score,Risk_Score
CRED,Fintech,B2C,Credit Card Rewards,Success,2018,High friction and trust issues in traditional credit card rewards.,A one-click credit card rewards API infrastructure.,0.79,0.72,0.2
Razorpay,Fintech,B2B,Payment Gateway,Success,2014,Lack of access to payment gateway for the average Indian consumer.,AI-driven underwriting to provide instant payment gateway.,0.77,0.63,0.21
BharatPe,Fintech,B2B,Merchant Payments,Success,2018,SMEs struggle with localized merchant payments processing without extreme delays.,AI-driven underwriting to provide instant merchant payments.,0.74,0.78,0.28
PhonePe,Fintech,B2C,UPI Payments,Success,2015,High friction and trust issues in traditional upi payments.,A one-click upi payments API infrastructure.,0.77,0.77,0.34
Groww,Fintech,B2C,Investment Platform,Success,2016,SMEs struggle with localized investment platform processing without extreme delays.,A consumer-first mobile app democratizing investment platform.,0.83,0.68,0.3
Upstox,Fintech,B2C,Discount Brokerage,Success,2016,SMEs struggle with localized discount brokerage processing without extreme delays.,AI-driven underwriting to provide instant discount brokerage.,0.9,0.8,0.26
CoinDCX,Fintech,B2C,Crypto Exchange,Success,2018,Lack of access to crypto exchange for the average Indian consumer.,A consumer-first mobile app democratizing crypto exchange.,0.91,0.88,0.33
CoinSwitch,Fintech,B2C,Crypto Trading,Success,2017,SMEs struggle with localized crypto trading processing without extreme delays.,A consumer-first mobile app democratizing crypto trading.,0.81,0.78,0.36
Slice,Fintech,B2C,Credit Cards for GenZ,Success,2016,High friction and trust issues in traditional credit cards for genz.,A one-click credit cards for genz API infrastructure.,0.85,0.78,0.26
Uni Cards,Fintech,B2C,BNPL Cards,Struggling,2020,Lack of access to bnpl cards for the average Indian consumer.,AI-driven underwriting to provide instant bnpl cards.,0.3,0.37,0.76
Jupiter,Fintech,B2C,Neobanking,Active/Growing,2019,Lack of access to neobanking for the average Indian consumer.,A one-click neobanking API infrastructure.,0.77,0.54,0.56
Fi Money,Fintech,B2C,Millennial Neobanking,Active/Growing,2019,High friction and trust issues in traditional millennial neobanking.,A one-click millennial neobanking API infrastructure.,0.7,0.62,0.33
Khatabook,Fintech,B2B,Digital Ledger,Success,2018,High friction and trust issues in traditional digital ledger.,AI-driven underwriting to provide instant digital ledger.,0.8,0.75,0.34
OkCredit,Fintech,B2B,Merchant Ledger,Struggling,2017,SMEs struggle with localized merchant ledger processing without extreme delays.,AI-driven underwriting to provide instant merchant ledger.,0.33,0.19,0.8
Lendingkart,Fintech,B2B,SME Lending,Success,2014,SMEs struggle with localized sme lending processing without extreme delays.,A consumer-first mobile app democratizing sme lending.,0.71,0.85,0.23
InCred,Fintech,B2C,Consumer Lending,Success,2016,High friction and trust issues in traditional consumer lending.,AI-driven underwriting to provide instant consumer lending.,0.82,0.73,0.25
KreditBee,Fintech,B2C,Personal Loans,Success,2018,High friction and trust issues in traditional personal loans.,AI-driven underwriting to provide instant personal loans.,0.76,0.62,0.21
Navi,Fintech,B2C,Financial Services,Success,2018,SMEs struggle with localized financial services processing without extreme delays.,A consumer-first mobile app democratizing financial services.,0.9,0.66,0.4
ZestMoney,Fintech,B2C,BNPL,Struggling,2015,SMEs struggle with localized bnpl processing without extreme delays.,A one-click bnpl API infrastructure.,0.39,0.48,0.78
Lazypay,Fintech,B2C,BNPL,Success,2017,SMEs struggle with localized bnpl processing without extreme delays.,A one-click bnpl API infrastructure.,0.77,0.83,0.28
Digit Insurance,Fintech,B2C,Insurtech,Success,2017,Lack of access to insurtech for the average Indian consumer.,A one-click insurtech API infrastructure.,0.79,0.71,0.21
Acko,Fintech,B2C,Digital Insurance,Success,2016,SMEs struggle with localized digital insurance processing without extreme delays.,A consumer-first mobile app democratizing digital insurance.,0.92,0.84,0.33
Turtlemint,Fintech,B2B2C,Insurance Advisor,Success,2015,SMEs struggle with localized insurance advisor processing without extreme delays.,A consumer-first mobile app democratizing insurance advisor.,0.78,0.82,0.31
Smallcase,Fintech,B2C,Thematic Investing,Success,2015,Lack of access to thematic investing for the average Indian consumer.,AI-driven underwriting to provide instant thematic investing.,0.8,0.84,0.3
WazirX,Fintech,B2C,Crypto Exchange,Struggling,2018,High friction and trust issues in traditional crypto exchange.,A consumer-first mobile app democratizing crypto exchange.,0.44,0.4,0.76
ClearTax,Fintech,B2C,Tax Filing,Success,2014,High friction and trust issues in traditional tax filing.,A one-click tax filing API infrastructure.,0.95,0.8,0.26
Pine Labs,Fintech,B2B,PoS Terminals,Success,2014,High friction and trust issues in traditional pos terminals.,A one-click pos terminals API infrastructure.,0.71,0.69,0.29
Simpl,Fintech,B2C,BNPL Checkout,Active/Growing,2015,Lack of access to bnpl checkout for the average Indian consumer.,A one-click bnpl checkout API infrastructure.,0.64,0.55,0.44
Mswipe,Fintech,B2B,Merchant PoS,Active/Growing,2015,High friction and trust issues in traditional merchant pos.,A one-click merchant pos API infrastructure.,0.78,0.77,0.31
Instamojo,Fintech,B2B,Payment Links,Active/Growing,2014,Lack of access to payment links for the average Indian consumer.,A consumer-first mobile app democratizing payment links.,0.77,0.7,0.53
Meesho,E-commerce,B2B2C,Social Commerce,Success,2015,Tier 2/3 cities lack access to authentic social commerce online.,D2C brand leveraging Instagram to sell authentic social commerce.,0.93,0.79,0.26
Udaan,B2B Marketplace,B2B,B2B Supply Chain,Success,2016,Lack of working capital integration for b2b supply chain buyers.,Aggregated procurement platform for b2b supply chain with embedded credit.,0.7,0.8,0.29
DealShare,E-commerce,B2C,Social Grocery,Struggling,2018,Fragmented supply chains cause 40% margin loss in social grocery.,An integrated marketplace that ships social grocery directly from manufacturers.,0.31,0.18,0.93
Purplle,E-commerce,B2C,Beauty Retail,Success,2012,Tier 2/3 cities lack access to authentic beauty retail online.,D2C brand leveraging Instagram to sell authentic beauty retail.,0.92,0.78,0.45
Nykaa,E-commerce,B2C,Beauty & Fashion,Success,2012,Traditional retailers cannot compete with massive aggregators in beauty & fashion.,An integrated marketplace that ships beauty & fashion directly from manufacturers.,0.87,0.65,0.4
Mamaearth,D2C,B2C,Personal Care,Success,2016,Enterprise teams spend 30% of their time manually managing personal care.,"A highly intuitive, cloud-native personal care platform.",0.92,0.88,0.38
Sugar Cosmetics,D2C,B2C,Cosmetics,Success,2015,Current cosmetics systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native cosmetics platform.",0.78,0.66,0.37
Lenskart,E-commerce,B2C,Eyewear,Success,2010,Fragmented supply chains cause 40% margin loss in eyewear.,An integrated marketplace that ships eyewear directly from manufacturers.,0.75,0.89,0.23
Licious,D2C,B2C,Meat Delivery,Success,2015,Disjointed data silos in meat delivery reduce operational efficiency.,An AI-powered dashboard that unifies meat delivery data.,0.76,0.62,0.23
FreshToHome,D2C,B2C,Seafood & Meat,Success,2015,Current seafood & meat systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native seafood & meat platform.",0.84,0.68,0.22
Melorra,D2C,B2C,Lightweight Jewelry,Active/Growing,2016,Disjointed data silos in lightweight jewelry reduce operational efficiency.,"A highly intuitive, cloud-native lightweight jewelry platform.",0.75,0.72,0.51
Wakefit,D2C,B2C,Sleep Solutions,Success,2016,Disjointed data silos in sleep solutions reduce operational efficiency.,An AI-powered dashboard that unifies sleep solutions data.,0.8,0.88,0.44
SleepyCat,D2C,B2C,Mattresses in a Box,Active/Growing,2017,Disjointed data silos in mattresses in a box reduce operational efficiency.,An AI-powered dashboard that unifies mattresses in a box data.,0.76,0.67,0.33
Bombay Shaving Company,D2C,B2C,Men's Grooming,Active/Growing,2015,Disjointed data silos in men's grooming reduce operational efficiency.,"A highly intuitive, cloud-native men's grooming platform.",0.6,0.64,0.52
Plum,D2C,B2C,Vegan Cosmetics,Active/Growing,2014,Current vegan cosmetics systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native vegan cosmetics platform.",0.82,0.74,0.5
