Startup_Name,Industry,Target_Market,Product_Focus,Outcome,Launch_Year,Core_Problem,Solution,Feasibility_Score,Innovation_Score,Risk_Score
CRED,Fintech,B2C,Credit Card Rewards,Success,2018,Lack of access to credit card rewards for the average Indian consumer.,A consumer-first mobile app democratizing credit card rewards.,0.7,0.88,0.27
Razorpay,Fintech,B2B,Payment Gateway,Success,2014,SMEs struggle with localized payment gateway processing without extreme delays.,A consumer-first mobile app democratizing payment gateway.,0.87,0.61,0.23
BharatPe,Fintech,B2B,Merchant Payments,Success,2018,SMEs struggle with localized merchant payments processing without extreme delays.,A one-click merchant payments API infrastructure.,0.91,0.61,0.24
PhonePe,Fintech,B2C,UPI Payments,Success,2015,High friction and trust issues in traditional upi payments.,A consumer-first mobile app democratizing upi payments.,0.87,0.65,0.31
Groww,Fintech,B2C,Investment Platform,Success,2016,High friction and trust issues in traditional investment platform.,A consumer-first mobile app democratizing investment platform.,0.89,0.8,0.4
Upstox,Fintech,B2C,Discount Brokerage,Success,2016,Lack of access to discount brokerage for the average Indian consumer.,A one-click discount brokerage API infrastructure.,0.79,0.89,0.42
CoinDCX,Fintech,B2C,Crypto Exchange,Success,2018,Lack of access to crypto exchange for the average Indian consumer.,AI-driven underwriting to provide instant crypto exchange.,0.89,0.82,0.37
CoinSwitch,Fintech,B2C,Crypto Trading,Success,2017,High friction and trust issues in traditional crypto trading.,AI-driven underwriting to provide instant crypto trading.,0.91,0.63,0.26
Slice,Fintech,B2C,Credit Cards for GenZ,Success,2016,High friction and trust issues in traditional credit cards for genz.,A consumer-first mobile app democratizing credit cards for genz.,0.83,0.82,0.39
Uni Cards,Fintech,B2C,BNPL Cards,Struggling,2020,High friction and trust issues in traditional bnpl cards.,AI-driven underwriting to provide instant bnpl cards.,0.35,0.36,0.95
Jupiter,Fintech,B2C,Neobanking,Active/Growing,2019,SMEs struggle with localized neobanking processing without extreme delays.,AI-driven underwriting to provide instant neobanking.,0.73,0.7,0.3
Fi Money,Fintech,B2C,Millennial Neobanking,Active/Growing,2019,Lack of access to millennial neobanking for the average Indian consumer.,A consumer-first mobile app democratizing millennial neobanking.,0.78,0.67,0.43
Khatabook,Fintech,B2B,Digital Ledger,Success,2018,SMEs struggle with localized digital ledger processing without extreme delays.,AI-driven underwriting to provide instant digital ledger.,0.71,0.6,0.42
OkCredit,Fintech,B2B,Merchant Ledger,Struggling,2017,High friction and trust issues in traditional merchant ledger.,AI-driven underwriting to provide instant merchant ledger.,0.45,0.58,0.93
Lendingkart,Fintech,B2B,SME Lending,Success,2014,Lack of access to sme lending for the average Indian consumer.,A consumer-first mobile app democratizing sme lending.,0.77,0.79,0.43
InCred,Fintech,B2C,Consumer Lending,Success,2016,Lack of access to consumer lending for the average Indian consumer.,AI-driven underwriting to provide instant consumer lending.,0.89,0.69,0.41
KreditBee,Fintech,B2C,Personal Loans,Success,2018,SMEs struggle with localized personal loans processing without extreme delays.,A consumer-first mobile app democratizing personal loans.,0.75,0.84,0.23
Navi,Fintech,B2C,Financial Services,Success,2018,High friction and trust issues in traditional financial services.,A one-click financial services API infrastructure.,0.79,0.83,0.28
ZestMoney,Fintech,B2C,BNPL,Struggling,2015,Lack of access to bnpl for the average Indian consumer.,A consumer-first mobile app democratizing bnpl.,0.38,0.21,0.77
Lazypay,Fintech,B2C,BNPL,Success,2017,SMEs struggle with localized bnpl processing without extreme delays.,A one-click bnpl API infrastructure.,0.87,0.88,0.23
Digit Insurance,Fintech,B2C,Insurtech,Success,2017,Lack of access to insurtech for the average Indian consumer.,A consumer-first mobile app democratizing insurtech.,0.94,0.87,0.29
Acko,Fintech,B2C,Digital Insurance,Success,2016,High friction and trust issues in traditional digital insurance.,A one-click digital insurance API infrastructure.,0.75,0.68,0.36
Turtlemint,Fintech,B2B2C,Insurance Advisor,Success,2015,Lack of access to insurance advisor for the average Indian consumer.,AI-driven underwriting to provide instant insurance advisor.,0.79,0.62,0.44
Smallcase,Fintech,B2C,Thematic Investing,Success,2015,Lack of access to thematic investing for the average Indian consumer.,AI-driven underwriting to provide instant thematic investing.,0.78,0.67,0.22
WazirX,Fintech,B2C,Crypto Exchange,Struggling,2018,SMEs struggle with localized crypto exchange processing without extreme delays.,A consumer-first mobile app democratizing crypto exchange.,0.27,0.31,0.85
ClearTax,Fintech,B2C,Tax Filing,Success,2014,High friction and trust issues in traditional tax filing.,A consumer-first mobile app democratizing tax filing.,0.93,0.84,0.26
Pine Labs,Fintech,B2B,PoS Terminals,Success,2014,Lack of access to pos terminals for the average Indian consumer.,A one-click pos terminals API infrastructure.,0.79,0.88,0.24
Simpl,Fintech,B2C,BNPL Checkout,Active/Growing,2015,SMEs struggle with localized bnpl checkout processing without extreme delays.,A consumer-first mobile app democratizing bnpl checkout.,0.81,0.53,0.53
Mswipe,Fintech,B2B,Merchant PoS,Active/Growing,2015,Lack of access to merchant pos for the average Indian consumer.,AI-driven underwriting to provide instant merchant pos.,0.75,0.78,0.34
Instamojo,Fintech,B2B,Payment Links,Active/Growing,2014,SMEs struggle with localized payment links processing without extreme delays.,AI-driven underwriting to provide instant payment links.,0.83,0.6,0.35
Meesho,E-commerce,B2B2C,Social Commerce,Success,2015,Traditional retailers cannot compete with massive aggregators in social commerce.,An integrated marketplace that ships social commerce directly from manufacturers.,0.75,0.85,0.24
Udaan,B2B Marketplace,B2B,B2B Supply Chain,Success,2016,Opaque pricing and unreliable supply in bulk b2b supply chain.,Aggregated procurement platform for b2b supply chain with embedded credit.,0.85,0.8,0.2
DealShare,E-commerce,B2C,Social Grocery,Struggling,2018,Traditional retailers cannot compete with massive aggregators in social grocery.,An integrated marketplace that ships social grocery directly from manufacturers.,0.36,0.46,0.92
Mamaearth,D2C,B2C,Personal Care,Success,2016,Current personal care systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies personal care data.,0.77,0.84,0.33
Sugar Cosmetics,D2C,B2C,Cosmetics,Success,2015,Current cosmetics systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies cosmetics data.,0.89,0.77,0.35
Licious,D2C,B2C,Meat Delivery,Success,2015,Current meat delivery systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies meat delivery data.,0.74,0.61,0.2
